0.49164,0.49164,0.49164,0.49164
0,0,0,0
-20,-20,-20,-20
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.48953,0.48953,0.48953,0.48953
0,0,0,0
-19,-19,-19,-19
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.48735,0.48735,0.48735,0.48735
0,0,0,0
-18,-18,-18,-18
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.48116,0.48116,0.48116,0.48116
0,0,0,0
-17,-17,-17,-17
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.47438,0.47438,0.47438,0.47438
0,0,0,0
-16,-16,-16,-16
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.46647,0.46647,0.46647,0.46647
0,0,0,0
-15,-15,-15,-15
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.4567,0.4567,0.4567,0.4567
0,0,0,0
-14,-14,-14,-14
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.44484,0.44484,0.44484,0.44484
0,0,0,0
-13,-13,-13,-13
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.42852,0.42852,0.42852,0.42852
15,15,15,15
-12,-12,-12,-12
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.40507,0.40507,0.40507,0.40507
30,30,30,30
-11,-11,-11,-11
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.30142,0.30142,0.30142,0.30142
40,40,40,40
-10,-10,-10,-10
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.2016,0.2016,0.2016,0.2016
40,40,40,40
-9,-9,-9,-9
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.02495,0.02495,0.02495,0.02495
95,95,95,95
-8,-8,-8,-8
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
-7,-7,-7,-7
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
-6,-6,-6,-6
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
-5,-5,-5,-5
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
-4,-4,-4,-4
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
-3,-3,-3,-3
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
-2,-2,-2,-2
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
-1,-1,-1,-1
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
0,0,0,0
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
1,1,1,1
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
2,2,2,2
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
3,3,3,3
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
4,4,4,4
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
5,5,5,5
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
6,6,6,6
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
7,7,7,7
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
8,8,8,8
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
9,9,9,9
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
10,10,10,10
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
11,11,11,11
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
12,12,12,12
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
13,13,13,13
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
14,14,14,14
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
15,15,15,15
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
16,16,16,16
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
17,17,17,17
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
18,18,18,18
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
19,19,19,19
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
20,20,20,20
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.48228,0.48228,0.48228,0.48228
0,0,0,0
-20,-20,-20,-20
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0.47888,0.47888,0.47888,0.47888
0,0,0,0
-19,-19,-19,-19
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0.47581,0.47581,0.47581,0.47581
0,0,0,0
-18,-18,-18,-18
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0.46367,0.46367,0.46367,0.46367
0,0,0,0
-17,-17,-17,-17
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0.45729,0.45729,0.45729,0.45729
