0.49073,0.49073,0.49073,0.49073,0.49073,0.49073,0.49073,0.49073
0,0,0,0,0,0,0,0
-20,-20,-20,-20,-20,-20,-20,-20
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.48853,0.48853,0.48853,0.48853,0.48853,0.48853,0.48853,0.48853
0,0,0,0,0,0,0,0
-19,-19,-19,-19,-19,-19,-19,-19
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.48496,0.48496,0.48496,0.48496,0.48496,0.48496,0.48496,0.48496
0,0,0,0,0,0,0,0
-18,-18,-18,-18,-18,-18,-18,-18
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.47545,0.47545,0.47545,0.47545,0.47545,0.47545,0.47545,0.47545
0,0,0,0,0,0,0,0
-17,-17,-17,-17,-17,-17,-17,-17
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.46877,0.46877,0.46877,0.46877,0.46877,0.46877,0.46877,0.46877
0,0,0,0,0,0,0,0
-16,-16,-16,-16,-16,-16,-16,-16
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.4627,0.4627,0.4627,0.4627,0.4627,0.4627,0.4627,0.4627
0,0,0,0,0,0,0,0
-15,-15,-15,-15,-15,-15,-15,-15
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.45654,0.45654,0.45654,0.45654,0.45654,0.45654,0.45654,0.45654
0,0,0,0,0,0,0,0
-14,-14,-14,-14,-14,-14,-14,-14
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.44894,0.44894,0.44894,0.44894,0.44894,0.44894,0.44894,0.44894
0,0,0,0,0,0,0,0
-13,-13,-13,-13,-13,-13,-13,-13
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.43993,0.43993,0.43993,0.43993,0.43993,0.43993,0.43993,0.43993
0,0,0,0,0,0,0,0
-12,-12,-12,-12,-12,-12,-12,-12
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.4306,0.4306,0.4306,0.4306,0.4306,0.4306,0.4306,0.4306
0,0,0,0,0,0,0,0
-11,-11,-11,-11,-11,-11,-11,-11
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.41941,0.41941,0.41941,0.41941,0.41941,0.41941,0.41941,0.41941
0,0,0,0,0,0,0,0
-10,-10,-10,-10,-10,-10,-10,-10
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.40636,0.40636,0.40636,0.40636,0.40636,0.40636,0.40636,0.40636
15,15,15,15,15,15,15,15
-9,-9,-9,-9,-9,-9,-9,-9
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.38945,0.38945,0.38945,0.38945,0.38945,0.38945,0.38945,0.38945
20,20,20,20,20,20,20,20
-8,-8,-8,-8,-8,-8,-8,-8
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.32289,0.32289,0.32289,0.32289,0.32289,0.32289,0.32289,0.32289
40,40,40,40,40,40,40,40
-7,-7,-7,-7,-7,-7,-7,-7
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.28057,0.28057,0.28057,0.28057,0.28057,0.28057,0.28057,0.28057
40,40,40,40,40,40,40,40
-6,-6,-6,-6,-6,-6,-6,-6
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.2175,0.2175,0.2175,0.2175,0.2175,0.2175,0.2175,0.2175
40,40,40,40,40,40,40,40
-5,-5,-5,-5,-5,-5,-5,-5
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.06355,0.06355,0.06355,0.06355,0.06355,0.06355,0.06355,0.06355
80,80,80,80,80,80,80,80
-4,-4,-4,-4,-4,-4,-4,-4
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0
100,100,100,100,100,100,100,100
-3,-3,-3,-3,-3,-3,-3,-3
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0
100,100,100,100,100,100,100,100
-2,-2,-2,-2,-2,-2,-2,-2
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0
100,100,100,100,100,100,100,100
